fecha	producto_id	cantidad	coste_unitario
2026-04-01	18	-10	1.45
2026-07-01	44	17.85	1.14
2026-07-01	12	5	1.62
2026-01-02	193	10	1.89
2026-01-02	196	4	1.79
2026-01-02	197	-8	1.21
2026-01-02	197	-20	1.21
2026-01-05	11	6.4	2.13
2026-05-05	43	12	2.33
2026-05-05	43	-12	2.33
2026-01-07	11	-6.4	2.13
2026-03-07	12	5	1.38
2026-03-07	251	1	5
2026-03-09	12	-5	1.96
2026-01-10	193	2	1.89
2026-01-10	196	4	1.74
2026-01-10	197	-4	1.21
2026-01-10	197	-8	1.21
2026-07-10	114	12	4.02
2026-03-12	2	-1	1.04
2026-03-12	12	-9.82	2.56
2026-03-12	8	-1	1.06
2026-03-12	65	-0.34	3.45
2026-03-12	66	-7	1.15
2026-03-12	48	-7.42	3.44
2026-06-15	85	14	1.1
2026-06-15	85	-14	1.1
2026-04-16	89	11.97	1.67
2026-02-17	48	-6	3.44
2026-02-17	48	15	1.5
2026-01-21	193	10	1.89
2026-01-21	196	-10	1.85
2026-01-21	193	-10	1.89
2026-01-21	196	10	1.85
2026-02-21	93	5	3.06
2026-03-21	16	6	0.92
2026-04-23	12	-0.18	1.15
2026-04-23	89	2.62	1.67
2026-04-23	109	0.73	2.19
2026-04-23	118	1.73	3.33
2026-04-23	32	2.12	2.37
2026-04-23	110	1	2.53
2026-04-23	35	3	0.75
2026-07-23	229	12	1.35
2026-02-24	48	-4	3.44
2026-02-24	48	10	1.5
2026-06-24	27	1	1.44
2026-06-24	33	0.36	0.87
2026-06-24	33	0.82	0.87
2026-06-24	33	0.26	0.87
2026-06-24	33	1.04	0.87
2026-06-24	38	0.26	1.34
2026-06-24	39	0.4	1.85
2026-06-24	43	1.1	1
2026-06-24	52	0.65	1.04
2026-06-24	52	1.27	1.04
2026-06-24	114	0.73	3.46
2026-06-24	114	0.29	3.46
2026-06-24	87	1	1.15
2026-06-24	124	0.34	1.06
2026-06-24	124	0.68	1.06
2026-06-24	197	0.22	1.15
2026-02-25	98	4.1	1.67
2026-05-25	42	-5.06	1.38
2026-05-25	118	0.26	3.33
2026-05-25	194	0.87	2.33
2026-05-25	32	-1.19	1.45
2026-05-25	60	3	2.02
2026-05-25	71	1	1.53
2026-05-25	231	2	0.98
2026-05-25	48	-0.21	3.44
2026-05-25	47	-0.06	3.55
2026-05-25	96	-1.18	2.13
2026-05-27	93	23	1.44
2026-06-27	12	4.91	1.44
2026-06-27	93	24	1.44
2026-06-27	98	1.46	1.79
2026-06-27	11	5.73	1.73
2026-06-27	40	19	1.56
2026-07-27	33	0.15	0.92
2026-07-27	43	0.16	1.3
2026-07-27	44	0.52	1.03
2026-07-27	106	0.19	1.45
2026-07-27	112	0.14	1.73
2026-07-27	121	0.49	0.98
2026-01-28	18	3.83	3.94
2026-01-28	97	3.21	1.38
2026-01-28	116	0.83	1.84
2026-01-28	180	0.15	5.17
2026-01-28	215		1.95
2026-01-28	160	6	1.99
2026-01-28	32		2.89
2026-01-28	14		1.04
2026-01-28	14	0.35	1.04
2026-03-30	166	12	1.73
2026-03-30	87	6	1.16
2026-03-31	166	-12	1.73
2026-03-31	87	-6	1.16
2026-03-31	18	10	1.45
2026-07-31	38	0.9	1.73
2026-07-31	44	0.77	1.34
2026-07-31	58	0.89	1.9
2026-07-31	187	1.12	4.04
2026-07-31	95	0.75	1.33
2026-07-31	11	0.65	3.16
2026-06-24	253	-5	0
2026-06-24	253	-8	0
2026-06-24	253	-8	0
2026-04-25	162	1	3.12
2026-07-27	253	-1	0
2026-07-27	253	-1	0
2026-07-27	253	-1	0
2026-07-27	253	-1	0
2026-07-27	253	-1	0
2026-07-27	253	-1	0
2026-07-31	253	0.5	0
2026-07-31	253	-1	0
2026-07-31	253	1	0
2026-07-31	253	-1	0
2026-07-31	253	1	0
2026-07-31	253	-2	0
2026-07-31	253	-1	0
2026-07-31	253	-1	0
2026-07-31	253	-1	0
