fecha	producto_id	cantidad	coste_unitario
2026-01-01	101	6.749	2.19
2026-01-01	103	1.66	1.62
2026-01-01	105	2.323	1.24
2026-01-01	106	7.497	1.45
2026-01-01	107	3.585	1.42
2026-01-01	11	2.896	3.16
2026-01-01	111	3.422	1.28
2026-01-01	112	2.607	1.91
2026-01-01	114	13.187	2.19
2026-01-01	12	3.883	1.71
2026-01-01	121	38.624	0.93
2026-01-01	124	14.586	1.16
2026-01-01	125	4	1.74
2026-01-01	127	5	1.84
2026-01-01	130	5	1.39
2026-01-01	132	2	0.91
2026-01-01	134	0.753	10.3
2026-01-01	135	0.509	9.6
2026-01-01	136	0.341	9.03
2026-01-01	137	0.543	13.1
2026-01-01	138	2.46	3.15
2026-01-01	139	0.361	10.35
2026-01-01	14	0.449	0.69
2026-01-01	140	0.575	9.6
2026-01-01	142	0.485	4.78
2026-01-01	145	0.23	15.9
2026-01-01	146	1.186	10.6
2026-01-01	158	2	1.75
2026-01-01	165	3.208	3.65
2026-01-01	166	6	1.84
2026-01-01	167	5	1.18
2026-01-01	178	0.77	2.43
2026-01-01	18	12.694	0.98
2026-01-01	185	3	1.44
2026-01-01	187	3.448	4.04
2026-01-01	189	4	2.31
2026-01-01	190	9	2.31
2026-01-01	193	7	1.46
2026-01-01	194	9.541	2.07
2026-01-01	195	10	1.09
2026-01-01	196	4	2.31
2026-01-01	197	7.157	1.72
2026-01-01	198	9.391	0.87
2026-01-01	199	3.747	1.62
2026-01-01	207	2	0.94
2026-01-01	208	4	0.66
2026-01-01	209	2	0.88
2026-01-01	211	3	0.85
2026-01-01	213	3	2.02
2026-01-01	214	2	1.95
2026-01-01	216	1	2
2026-01-01	218	6	1.02
2026-01-01	219	3	0.71
2026-01-01	223	1	1.5
2026-01-01	226	2	0.98
2026-01-01	23	4	0.94
2026-01-01	27	2	1.91
2026-01-01	28	7	2.08
2026-01-01	30	4	1.39
2026-01-01	31	0.557	4.4
2026-01-01	33	6.965	1.15
2026-01-01	38	7.791	1.39
2026-01-01	39	2.988	3.3
2026-01-01	4	6	0.76
2026-01-01	40	2	1.53
2026-01-01	41	7.029	1.38
2026-01-01	42	8.354	0.99
2026-01-01	43	13.054	1.3
2026-01-01	44	13.969	1.28
2026-01-01	46	5.119	2.19
2026-01-01	48	2	1.53
2026-01-01	49	2	2.19
2026-01-01	50	1	2.19
2026-01-01	52	26.971	0.7
2026-01-01	53	2	1.85
2026-01-01	54	3	1.85
2026-01-01	55	5	2.1
2026-01-01	56	4	2.6
2026-01-01	57	2	0.98
2026-01-01	58	1.737	1.9
2026-01-01	59	2.932	2.92
2026-01-01	61	2	1.39
2026-01-01	65	2	1.04
2026-01-01	66	3	1.16
2026-01-01	68	1	1.51
2026-01-01	69	8	0.91
2026-01-01	70	3	1.1
2026-01-01	71	2	1.53
2026-01-01	72	5	0.69
2026-01-01	73	3	1.1
2026-01-01	74	12	1.71
2026-01-01	75	4	1.19
2026-01-01	76	19	0.57
2026-01-01	77	2	1.67
2026-01-01	78	9	0.79
2026-01-01	79	6	1.07
2026-01-01	8	2	1.69
2026-01-01	81	7	0.72
2026-01-01	82	7	0.65
2026-01-01	83	3.453	1.72
2026-01-01	84	7	1.16
2026-01-01	87	4	1.04
2026-01-01	88	2.228	1.62
2026-01-01	89	35.69	0.58
2026-01-01	9	4	0.58
2026-01-01	91	26.17	0.53
2026-01-01	92	8.594	0.64
2026-01-01	93	29	1.46
2026-01-01	94	6.288	2.08
2026-01-01	95	5.94	1.84
2026-01-01	96	1.396	1.82
2026-01-01	98	1.387	1.68
2026-01-01	99	1.61	2.28
2026-01-02	101	6.749	2.19
2026-01-02	103	1.66	1.62
2026-01-02	105	2.323	1.24
2026-01-02	106	7.497	1.45
2026-01-02	107	3.585	1.42
2026-01-02	11	2.896	3.16
2026-01-02	111	3.422	1.28
2026-01-02	112	2.607	1.91
2026-01-02	114	13.187	2.19
2026-01-02	12	3.883	1.71
2026-01-02	121	38.624	0.93
2026-01-02	124	14.586	1.16
2026-01-02	125	4	1.74
2026-01-02	127	5	1.84
2026-01-02	130	5	1.39
2026-01-02	134	0.753	10.3
2026-01-02	135	0.509	9.6
2026-01-02	136	0.341	9.03
2026-01-02	137	0.543	13.1
2026-01-02	138	2.46	3.15
2026-01-02	139	0.361	10.35
2026-01-02	140	0.575	9.6
2026-01-02	142	0.485	4.78
2026-01-02	145	0.23	15.9
2026-01-02	146	1.186	10.6
2026-01-02	158	2	1.75
2026-01-02	165	3.208	3.65
2026-01-02	166	6	1.84
2026-01-02	167	5	1.18
2026-01-02	178	0.77	2.43
2026-01-02	18	12.694	0.98
2026-01-02	185	3	1.44
2026-01-02	187	3.448	4.04
2026-01-02	189	4	2.31
2026-01-02	190	9	2.31
2026-01-02	193	7	1.46
2026-01-02	194	9.541	2.07
2026-01-02	195	10	1.09
2026-01-02	196	4	2.31
2026-01-02	197	7.157	1.72
2026-01-02	198	9.391	0.87
2026-01-02	199	3.747	1.62
2026-01-02	205	5	2.47
2026-01-02	207	2	0.94
2026-01-02	208	4	0.66
2026-01-02	209	2	0.88
2026-01-02	211	3	0.85
2026-01-02	213	3	2.02
2026-01-02	214	2	1.95
2026-01-02	216	1	2
2026-01-02	218	6	1.02
2026-01-02	219	3	0.71
2026-01-02	224	17	0.72
2026-01-02	226	2	0.98
2026-01-02	227	17	1.19
2026-01-02	23	4	0.94
2026-01-02	247	3	1.5
2026-01-02	27	2	1.91
2026-01-02	28	7	2.08
2026-01-02	30	4	1.39
2026-01-02	31	0.557	4.4
2026-01-02	33	6.965	1.15
2026-01-02	38	7.791	1.39
2026-01-02	39	2.988	3.3
2026-01-02	4	6	0.76
2026-01-02	40	2	1.53
2026-01-02	41	7.029	1.38
