fecha	producto_id	cantidad	pvp_original	pvp_demarca
2026-04-01	8	1	2.25	0.7
2026-04-01	99	0.72	2.99	0.8
2026-04-01	124	0.75	1.55	0.5
2026-04-01	124	0.49	1.55	0.5
2026-04-01	93	1	2.49	1
2026-04-01	93	1	2.49	1
2026-04-01	207	1	1.29	0.9
2026-04-01	207	1	1.29	0.9
2026-04-01	209	1	1.19	0.83
2026-04-01	209	1	1.19	0.83
2026-04-01	209	1	1.19	0.83
2026-04-01	127	1	2.75	1.93
2026-04-01	127	1	2.75	1.93
2026-04-01	127	1	2.75	1.93
2026-04-01	32	1.11	3.25	1.84
2026-04-01	53	1	2.49	1.74
2026-04-01	125	1	2.65	1.86
2026-04-01	125	1	2.65	1.86
2026-04-01	48	1	1.99	1.59
2026-06-01	18	0.21	1.25	0.5
2026-06-01	38	0.26	2.19	1.99
2026-06-01	42	0.26	1.85	0.5
2026-06-01	43	0.44	1.85	0.5
2026-06-01	99	0.28	2.99	0.5
2026-06-01	106	1.49	4.25	1
2026-06-01	89	2.66	1.85	1.99
2026-06-01	93	1	1.95	1.5
2026-06-01	93	1	1.95	0.5
2026-06-01	93	1	1.95	1.5
2026-06-01	187	0.49	4.99	0.5
2026-06-01	198	1	1.59	1
2026-06-01	95	0.2	1.55	0.5
2026-06-01	95	0.44	1.55	0.5
2026-06-01	127	1	2.99	1
2026-06-01	101	0.72	2.69	1
2026-06-01	101	0.19	2.69	0.5
2026-06-01	121	0.77	2.75	2.59
2026-06-01	121	0.2	2.75	1
2026-06-01	121	0.62	2.75	2.59
2026-06-01	121	0.44	2.75	2.59
2026-06-01	121	0.84	2.75	1
2026-06-01	121	0.62	2.75	2.59
2026-06-01	121	0.5	2.75	1
2026-06-01	121	0.27	2.75	0.5
2026-06-01	121	0.19	2.75	0.5
2026-06-01	121	0.94	2.75	2.59
2026-06-01	121	0.35	2.75	1
2026-06-01	121	0.5	2.75	2.6
2026-06-01	121	0.19	2.75	0.5
2026-06-01	189	1	2.79	2.09
2026-06-01	189	1	2.79	2.09
2026-06-01	189	1	2.79	2.09
2026-06-01	46	1.7	3.45	0.5
