fecha	producto_id	cantidad	coste_unitario
2026-04-01	93	1	1.85
2026-04-01	39	0.44	3.07
2026-04-01	124	0.18	1.15
2026-04-01	124	0.17	1.15
2026-04-01	197	0.24	1.16
2026-04-01	9	1	0.58
2026-04-01	130	2	1.44
2026-04-01	197	0.77	1.16
2026-04-01	197	0.25	1.16
2026-06-01	26	0.95	0.93
2026-06-01	101	0.19	2.01
2026-06-01	101	0.5	2.01
2026-06-01	201	0.31	1.27
2026-06-01	101	0.15	2.01
2026-06-01	101	0.15	2.01
2026-06-01	219	2	0.71
2026-06-01	197	0.34	1.15
2026-06-01	91	2.19	1.14
2026-06-01	46	0.18	2.54
2026-06-01	12	0.25	1.27
2026-07-01	44	0.52	1.14
2026-07-01	121	0.58	1.73
2026-07-01	121	0.12	1.73
2026-07-01	44	0.77	1.14
2026-07-01	66	1	1.16
2026-01-02	20	2	0.81
2026-01-02	127	1.02	2.55
2026-01-02	102	0.27	1.61
2026-01-02	103	0.25	2.3
2026-01-02	97	2.28	1.38
2026-01-02	101	0.15	2.13
2026-01-02	69	1	0.98
2026-01-02	102	0.13	1.61
2026-01-02	98	0.25	1.84
2026-01-02	33	0.14	1.9
2026-01-02	224	1	0.72
2026-01-02	103	0.09	2.3
2026-01-02	97	0.99	1.38
2026-01-02	199	0.18	1.67
2026-01-02	178	0.49	2.07
2026-02-02	220	1	1.68
2026-02-02	41	0.72	1.73
2026-02-02	101	0.16	2.14
2026-02-02	199	0.11	1.61
2026-02-02	199	0.16	1.61
2026-02-02	101	0.15	2.14
2026-02-02	103	0.1	2.3
2026-02-02	219	2	0.7
2026-02-02	84	1	1.2
2026-02-02	1	1	1.04
2026-02-02	167	1	1.02
2026-02-02	41	0.69	1.73
2026-02-02	42	0.42	1.48
2026-02-02	197	0.32	1.1
2026-02-02	194	0.14	1.99
2026-02-02	12	0.56	4.05
2026-03-02	33	0.1	1.79
2026-03-02	93	1	2.78
2026-03-02	43	0.5	1.44
2026-03-02	101	0.43	2.13
2026-03-02	124	0.11	1.15
2026-03-02	101	0.18	2.13
2026-03-02	18	0.27	1.39
2026-03-02	101	0.13	2.13
2026-03-02	121	0.16	1.68
2026-03-02	30	2	1.5
2026-03-02	65	1	1.04
2026-03-02	199	0.17	1.61
2026-03-02	9	1	0.58
2026-04-02	41	0.27	1.73
2026-04-02	121	0.16	1.61
2026-04-02	187	0.3	3.46
2026-04-02	199	0.45	1.61
2026-04-02	187	0.1	3.46
2026-05-02	187	0.52	3.24
2026-05-02	199	0.34	2.31
2026-05-02	93	1	1.28
2026-06-02	105	0.18	3.12
2026-06-02	44	0.15	1.56
2026-06-02	112	0.05	2.3
2026-06-02	89	2.58	1.38
2026-06-02	111	0.06	2.3
2026-06-02	114	0.02	4.04
2026-06-02	187	0.09	3.72
2026-06-02	114	0.03	4.04
2026-06-02	114	0.04	4.04
2026-06-02	103	0.07	2.24
2026-07-02	190	2	2.54
2026-07-02	49	1	1.49
2026-07-02	48	1	1.53
2026-07-02	199	0.34	2.89
2026-07-02	199	0.1	2.89
2026-07-02	82	1	0.79
2026-07-02	44	0.52	1.14
2026-07-02	44	0.14	1.14
2026-07-02	44	0.22	1.14
2026-01-03	41	0.28	1.5
2026-01-03	124	0.17	1.15
2026-01-03	102	0.13	1.61
2026-01-03	43	0.21	1.73
2026-01-03	42	0.44	1.5
2026-01-03	124	1.39	1.15
2026-01-03	194	0.45	1.73
2026-01-03	41	0.56	1.5
2026-01-03	121	0.1	1.38
2026-01-03	187	0.11	3.9
2026-01-03	52	0.11	0.75
2026-01-03	33	0.4	1.9
2026-01-03	219	2	0.7
2026-01-03	209	3	0.88
2026-02-03	197	0.27	1.1
2026-02-03	38	0.11	2.14
2026-02-03	103	0.23	2.3
2026-02-03	209	1	0.88
2026-02-03	207	3	0.94
2026-02-03	95	0.38	1.14
2026-02-03	101	0.15	2.14
2026-02-03	38	0.23	2.94
2026-02-03	178	0.48	2.54
2026-02-03	103	0.11	2.3
2026-02-03	44	0.12	1.91
2026-02-03	52	0.16	0.75
2026-02-03	187	0.11	3.58
2026-02-03	165	0.42	3.81
2026-02-03	194	0.12	1.99
2026-02-03	199	0.48	1.61
2026-03-03	194	0.1	1.72
2026-03-03	93	3	2.78
2026-03-03	89	1.05	1.19
2026-03-03	101	0.15	2.13
2026-03-03	42	0.17	1.62
2026-03-03	44	0.12	1.61
2026-03-03	207	3	0.94
2026-03-03	42	0.2	1.62
2026-03-03	167	1	1.2
2026-03-03	101	0.15	2.13
2026-03-03	121	0.16	1.68
2026-03-03	187	0.11	3.46
2026-03-03	187	0.22	3.46
2026-03-03	82	1	0.66
2026-06-03	111	0.08	2.3
2026-06-03	112	0.12	2.3
2026-06-03	44	0.15	1.56
2026-06-03	101	0.34	2.01
2026-06-03	112	0.09	2.3
2026-06-03	42	0.17	1.38
2026-07-03	199	0.6	2.89
2026-07-03	44	0.42	1.14
2026-07-03	26	0.81	0.93
2026-07-03	111	0.11	1.35
2026-07-03	33	0.11	0.92
2026-02-04	1	2	1.04
2026-02-04	42	0.25	1.48
2026-02-04	194	0.19	1.99
2026-02-04	199	0.15	1.61
2026-02-04	42	0.17	1.48
2026-02-04	199	0.15	1.61
2026-02-04	83	0.27	1.64
2026-03-04	42	0.89	1.62
2026-03-04	38	0.06	2.65
2026-03-04	95	0.21	1.27
2026-03-04	121	0.28	1.68
2026-03-04	58	0.28	1.9
2026-03-04	199	0.55	1.61
2026-03-04	44	0.83	2.02
2026-03-04	101	0.33	2.13
2026-03-04	93	1	2.78
2026-03-04	201	0.91	1.04
2026-03-04	130	1	1.44
2026-03-04	4	1	0.73
2026-03-04	58	0.35	1.9
2026-03-04	58	0.33	1.9
2026-05-04	44	0.14	2.08
2026-05-04	44	4.57	2.08
2026-05-04	44	0.09	2.08
2026-05-04	201	0.33	1.16
2026-05-04	121	0.36	2.23
2026-05-04	42	2.45	1.62
2026-05-04	199	0.2	2.31
2026-05-04	101	0.17	2.01
2026-05-04	201	0.35	1.16
2026-05-04	43	0.1	2.33
2026-05-04	44	0.11	2.08
2026-05-04	42	0.36	1.62
2026-06-04	199	0.15	2.39
2026-06-04	105	0.29	3.12
2026-06-04	42	0.29	1.5
2026-06-04	4	1	0.76
2026-06-04	121	0.8	2.02
2026-06-04	28	3	1.56
2026-06-04	105	0.14	3.12
2026-06-04	232	1	1.1
2026-06-04	61	4	1.39
2026-06-04	61	1	1.39
2026-06-04	42	0.08	1.5
2026-06-04	75	1	1.19
2026-06-04	187	0.28	3.72
2026-06-04	4	1	0.76
2026-06-04	121	0.09	2.02
2026-06-04	95	0.22	1.33
2026-06-04	105	0.29	3.12
2026-06-04	187	0.56	3.72
2026-07-04	44	0.97	1.14
2026-07-04	124	0.38	1.15
2026-07-04	95	0.14	1.33
2026-07-04	44	0.31	1.14
2026-07-04	250	0.27	1.73
2026-07-04	95	0.72	1.33
2026-07-04	42	0.41	1.49
2026-07-04	121	0.9	1.73
2026-07-04	250	0.28	1.73
2026-07-04	187	0.1	4.27
2026-01-05	95	0.21	1.27
2026-01-05	187	0.11	3.57
2026-01-05	99	0.26	2.31
2026-01-05	94	0.25	1.97
2026-01-05	97	0.87	1.38
2026-01-05	97	0.17	1.38
2026-01-05	44	0.14	2.31
2026-01-05	12	0.93	3
2026-01-05	197	0.67	1.21
2026-01-05	116	0.82	1.84
2026-01-05	194	0.69	1.73
2026-01-05	166	1	1.73
2026-01-05	43	0.16	1.73
2026-01-05	197	0.23	1.21
2026-01-05	12	0.87	3
2026-01-05	197	0.46	1.21
2026-01-05	101	0.12	2.13
2026-02-05	103	0.28	2.3
2026-02-05	52	0.43	0.75
2026-02-05	194	0.22	1.99
2026-02-05	103	0.1	2.3
2026-02-05	16	1.4	0.83
2026-02-05	93	1	3.25
2026-02-05	27	2	1.55
2026-02-05	83	0.95	1.64
2026-02-05	41	0.86	1.73
2026-02-05	194	0.1	1.99
2026-03-05	93	1	2.78
2026-03-05	199	0.37	1.61
2026-03-05	187	0.11	3.46
2026-03-05	199	0.17	1.61
2026-03-05	167	4	1.2
2026-03-05	178	0.48	2.43
2026-03-05	75	2	1.14
2026-03-05	38	0.11	2.65
2026-03-05	93	1	2.78
2026-03-05	101	0.31	2.13
2026-03-05	124	0.25	1.15
2026-05-05	42	1.23	1.62
2026-05-05	82	1	0.73
2026-05-05	178	0.37	2.54
2026-05-05	95	0.19	1.16
2026-05-05	8	1	1.53
2026-05-05	199	0.2	2.31
2026-05-05	11	0.13	1.16
2026-05-05	197	0.31	1.16
2026-05-05	71	2	1.53
2026-05-05	186	2	1.66
