producto_id	nombre	tipo_venta	subcategoria
1	Acelgas	ud	VERDURAS HOJA
2	Espinacas	ud	VERDURAS HOJA
3	Apio Embolsado	ud	VERDURAS HOJA
4	Lechuga Iceberg	ud	VERDURAS HOJA
5	Lechuga Romana	ud	VERDURAS HOJA
6	Lechuga Escarola	ud	VERDURAS HOJA
7	Lechuga Hoja de Roble	ud	VERDURAS HOJA
8	Lechuga Romana Paquete	ud	VERDURAS HOJA
9	Perejil	ud	VERDURAS HOJA
10	Apio	ud	VERDURAS HOJA
11	Alcachofa	kg	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
12	Berenjena Negra	kg	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
13	Berenjena Vinagre	kg	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
14	Calabaza Carruecano	kg	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
15	Calabaza Halloween	ud	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
16	Calabaza Violín	kg	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
17	Calabaza Cortada Barqueta	ud	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
18	Calabacín	kg	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
19	Zanahoria Manojo	ud	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
20	Rábano	ud	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
21	Rabanito Barqueta	ud	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
22	Nabo	kg	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
23	Brócoli	ud	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
24	Col	kg	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
25	Col China	kg	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
26	Col Lombarda	kg	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
27	Coliflor	ud	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
28	Espárragos	ud	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
29	Judía Bobi Paquete	ud	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
30	Judía Ancha Paquete	ud	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
31	Judía Verde Ancha	kg	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
32	Habas Verdes	kg	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
33	Pepino del País	kg	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
34	Pepino Holandés	kg	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
35	Pepino Holandés Unidad	ud	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
36	Pimiento Amarillo	kg	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
37	Pimiento Verde Lamuyo	kg	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
38	Pimiento Verde Italiano	kg	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
39	Pimiento Morrón Rojo	kg	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
40	Pimiento Tricolor Paquete	ud	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
41	Tomate Ensalada	kg	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
42	Tomate Canario	kg	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
43	Tomate Pera	kg	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
44	Tomate Rama	kg	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
45	Tomate Antociano Murice Asurcado	kg	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
46	Tomate Monterrosa	kg	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
47	Tomate Choc Mato Asurcado	kg	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
48	Tomate Antociano Murice	ud	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
49	Tomate Choc Mato	ud	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
50	Tomate Primora Mini	ud	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
51	Tomate Kumato	kg	HORTALIZAS (FRUTO FLOR, LEGUMBRES, RAIZ Y ARBORESCENCIAS)
52	Patata Fresca	kg	HORTALIZAS (TUBERCULOS)
53	Patata Roja	ud	HORTALIZAS (TUBERCULOS)
54	Patata para Cocer	ud	HORTALIZAS (TUBERCULOS)
55	Patata para Freír	ud	HORTALIZAS (TUBERCULOS)
56	Patata	ud	HORTALIZAS (TUBERCULOS)
57	Patata Guarnición	ud	HORTALIZAS (TUBERCULOS)
58	Boniato	kg	HORTALIZAS (TUBERCULOS)
59	Batata Asada	kg	HORTALIZAS (TUBERCULOS)
60	Mix de Setas	ud	HORTALIZAS (CHAMPIÑON / SETAS)
61	Setas	ud	HORTALIZAS (CHAMPIÑON / SETAS)
62	Shitake	ud	HORTALIZAS (CHAMPIÑON / SETAS)
63	Setas Extra	kg	HORTALIZAS (CHAMPIÑON / SETAS)
64	Champiñón	kg	HORTALIZAS (CHAMPIÑON / SETAS)
65	Champiñón Entero	ud	HORTALIZAS (CHAMPIÑON / SETAS)
66	Champiñón Laminado	ud	HORTALIZAS (CHAMPIÑON / SETAS)
67	Ajete Tierno	ud	HORTALIZAS EMBARQUETADAS (VERDURAS HOJA, RAIZ Y FRUTO FLOR)
68	Endivia	ud	HORTALIZAS EMBARQUETADAS (VERDURAS HOJA, RAIZ Y FRUTO FLOR)
69	Cogollo	ud	HORTALIZAS EMBARQUETADAS (VERDURAS HOJA, RAIZ Y FRUTO FLOR)
70	Pimiento Padrón	ud	HORTALIZAS EMBARQUETADAS (VERDURAS HOJA, RAIZ Y FRUTO FLOR)
71	Corazón de Lechuga	ud	HORTALIZAS EMBARQUETADAS (VERDURAS HOJA, RAIZ Y FRUTO FLOR)
72	Tomate Cherry	ud	HORTALIZAS EMBARQUETADAS (VERDURAS HOJA, RAIZ Y FRUTO FLOR)
73	Tomate Cherry Pera Kumato	ud	HORTALIZAS EMBARQUETADAS (VERDURAS HOJA, RAIZ Y FRUTO FLOR)
