fecha	producto_id	cantidad	precio_unitario
2026-01-01	75	1	1.59
2026-01-01	185	1	1.99
2026-01-01	9	2	0.85
2026-01-01	56	1	3.49
2026-01-01	201	0.713	1.95
2026-01-01	93	1	3
2026-01-01	43	4.67	1.79
2026-01-01	43	5.246	1.79
2026-01-01	55	1	2.99
2026-01-01	199	2.895	2.19
2026-01-01	92	6.472	0.89
2026-01-01	18	5.637	1.35
2026-01-01	134	0.55	14.75
2026-01-01	195	1	2.25
2026-01-01	112	2.008	2.59
2026-01-01	114	3.056	4.5
2026-01-01	89	12.646	0.79
2026-01-01	30	2	1.89
2026-01-01	219	1	0.99
2026-01-01	47	0.287	3
2026-01-01	59	0.093	4
2026-01-01	106	1.588	1.99
2026-01-01	87	1	1.39
2026-01-01	127	3	2.49
2026-01-01	224	1	0.99
2026-01-01	125	1	2.35
2026-01-01	93	3	3
2026-01-01	49	1	3
2026-01-01	71	1	1.99
2026-01-01	93	2	3
2026-01-01	139	0.262	14.95
2026-01-01	52	6.576	0.99
2026-01-01	79	4	1.55
2026-01-01	102	0.252	1.75
2026-01-01	48	1	1.99
2026-01-01	108	0.2	2.35
2026-01-01	41	5.476	1.85
2026-01-01	114	1.293	4.5
2026-01-01	194	0.818	2.75
2026-01-01	187	0.183	5.45
2026-01-01	55	1	2.99
2026-01-01	11	2.208	3.95
2026-01-01	28	1	2.85
2026-01-01	114	1.151	4.5
2026-01-01	107	2.678	1.99
2026-01-01	113	0.021	4.25
2026-01-01	196	2	3.15
2026-01-01	118	0.165	4
2026-01-01	12	2.538	2.25
2026-01-01	105	1.726	1.75
2026-01-01	189	1	3.15
2026-01-01	56	1	3.49
2026-01-01	77	1	2.35
2026-01-01	16	1.36	1.25
2026-01-01	66	1	1.59
2026-01-01	250	0.28	2.39
2026-01-01	81	4	1.25
2026-01-01	39	2.581	3.99
2026-01-01	93	3	3
2026-01-01	138	1.769	4.59
2026-01-01	185	2	1.99
2026-01-01	158	1	2.29
2026-01-01	197	4.951	2.25
2026-01-01	84	1	1.59
2026-01-01	58	1.386	2.49
2026-01-01	4	2	1.05
2026-01-01	190	1	3.15
2026-01-01	211	2	1.15
2026-01-01	144	0.349	5.39
2026-01-01	42	1.971	1.39
2026-01-01	167	4	1.59
2026-01-01	44	0.737	1.75
2026-01-01	135	0.363	12.95
2026-01-01	114	0.936	4.5
2026-01-01	187	2.49	5.45
2026-01-01	121	2.364	1.29
2026-01-01	84	3	1.59
2026-01-01	190	1	3.15
2026-01-01	124	1.626	1.55
2026-01-01	195	4	2.25
2026-01-01	82	2	0.99
2026-01-01	73	2	1.49
2026-01-01	124	4.245	1.55
2026-01-01	136	0.248	12.95
2026-01-01	213	2	2.85
2026-01-01	81	1	1.25
2026-01-01	218	1	1.39
2026-01-01	226	2	1.35
2026-01-01	121	5.744	1.29
2026-01-01	42	1.741	1.39
2026-01-01	190	1	3.15
2026-01-01	54	1	2.59
2026-01-01	66	2	1.59
2026-01-01	40	1	1.99
2026-01-01	141	0.151	11.89
2026-01-01	52	7.01	0.99
2026-01-01	121	5.729	1.29
2026-01-01	95	3.531	2.39
2026-01-01	165	2.446	5
2026-01-01	78	8	1.09
2026-01-01	18	3.993	1.35
2026-01-01	218	1	1.39
2026-01-01	26	0.277	1.19
2026-01-01	30	1	1.89
2026-01-01	194	2.68	2.75
2026-01-01	196	1	3.15
2026-01-01	82	3	0.99
2026-01-01	198	2.697	1.19
2026-01-01	248	0.008	10.95
2026-01-01	8	1	2.25
2026-01-01	121	3.915	1.29
2026-01-01	147	0.123	3.99
2026-01-01	87	2	1.39
2026-01-01	42	2.504	1.39
2026-01-01	142	0.35	6.95
2026-01-01	76	17	0.79
2026-01-01	109	0.494	2.59
2026-01-01	106	4.146	1.99
2026-01-01	114	0.278	4.5
2026-01-01	94	0.309	2.85
2026-01-01	146	0.426	14.39
2026-01-01	91	10.855	0.69
2026-01-01	52	3.919	0.99
2026-01-01	198	4.487	1.19
2026-01-01	103	1.288	2.19
2026-01-01	44	4.091	1.75
2026-01-01	194	4.007	2.75
2026-01-01	121	8.543	1.29
2026-01-01	61	1	1.89
2026-01-01	149	0.365	4.99
2026-01-01	97	0.24	1.75
2026-01-01	12	0.547	2.25
2026-01-01	93	4	3
2026-01-01	190	1	3.15
2026-01-01	65	2	1.45
2026-01-01	189	2	3.15
2026-01-01	207	1	1.29
2026-01-01	28	1	2.85
2026-01-01	148	0.204	5.99
2026-01-01	195	1	2.25
2026-01-01	69	3	1.25
2026-01-01	57	1	1.35
2026-01-01	55	2	2.99
2026-01-01	11	0.213	3.95
2026-01-01	146	0.486	14.39
2026-01-01	89	10.975	0.79
2026-01-01	33	5.27	1.59
2026-01-01	145	0.167	22.95
2026-01-01	209	1	1.19
2026-01-01	211	1	1.15
2026-01-01	46	0.323	3
2026-01-01	88	1.731	2.19
2026-01-01	96	1.072	2.5
2026-01-01	125	2	2.35
2026-01-01	24	1.21	1.19
2026-01-01	214	1	2.79
2026-01-01	85	1	1.49
2026-01-01	72	4	0.95
2026-01-01	61	1	1.89
2026-01-01	38	5.836	1.89
2026-01-01	137	0.397	18.75
2026-01-01	178	0.593	3.29
2026-01-01	197	0.782	2.25
2026-01-01	166	4	2.45
2026-01-01	101	3.407	3
2026-01-01	4	2	1.05
2026-01-01	89	3.772	0.79
2026-01-01	75	3	1.59
2026-01-01	83	2.598	2.39
2026-01-01	70	3	1.49
2026-01-01	69	3	1.25
2026-01-01	218	3	1.39
2026-01-01	8	1	2.25
2026-01-01	54	2	2.59
2026-01-01	44	5.851	1.75
2026-01-01	98	1.074	2.3
2026-01-01	190	1	3.15
2026-01-01	84	1	1.59
2026-01-01	95	1.268	2.39
2026-01-01	127	1	2.49
2026-01-01	53	1	2.59
2026-01-01	166	1	2.45
2026-01-01	35	1	1.35
2026-01-01	124	5.548	1.55
2026-01-01	56	2	3.49
2026-01-01	99	1.284	2.99
2026-01-01	193	4	2.5
2026-01-01	155	1	0.85
2026-01-01	101	1.747	3
2026-01-01	111	2.617	1.75
2026-01-01	91	10.145	0.69
2026-01-01	23	3	1.25
2026-01-01	208	5	0.95
2026-01-01	122	0.06	2.99
2026-01-01	52	2.444	0.99
2026-01-01	21	1	0.99
2026-01-01	31	0.453	5.69
2026-01-01	100	0.409	2.69
2026-01-01	140	0.445	12.95
2026-01-01	84	1	1.59
2026-01-01	130	4	1.89
2026-01-01	117	0.532	2.5
2026-01-01	121	2.798	1.29
2026-01-01	93	1	3
2026-01-01	94	4.495	2.85
2026-01-02	83	1.523	2.39
2026-01-02	65	2	1.45
2026-01-02	158	1	2.29
2026-01-02	96	1.296	2.5
2026-01-02	55	2	2.99
2026-01-02	76	11	0.79
2026-01-02	76	7	0.79
2026-01-02	52	2.465	0.99
2026-01-02	52	5.101	0.99
2026-01-02	49	1	3
2026-01-02	124	3.677	1.55
2026-01-02	28	3	2.85
2026-01-02	134	0.278	14.75
2026-01-02	69	7	1.25
2026-01-02	94	2.046	2.85
2026-01-02	124	2.568	1.55
2026-01-02	145	0.202	22.95
2026-01-02	139	0.317	14.95
2026-01-02	208	4	0.95
2026-01-02	105	2.086	1.75
2026-01-02	100	0.494	2.69
2026-01-02	189	3	3.15
2026-01-02	136	0.1	12.95
2026-01-02	53	1	2.59
2026-01-02	218	3	1.39
2026-01-02	82	6	0.99
2026-01-02	43	2.089	1.79
2026-01-02	16	1.64	1.25
2026-01-02	134	0.387	14.75
2026-01-02	89	13.709	0.79
2026-01-02	250	0.339	2.39
2026-01-02	218	3	1.39
2026-01-02	55	1	2.99
2026-01-02	11	0.595	3.95
2026-01-02	93	4	3
2026-01-02	124	5.587	1.55
2026-01-02	43	3.117	1.79
2026-01-02	39	2.206	3.99
2026-01-02	39	0.92	3.99
2026-01-02	190	3	3.15
2026-01-02	117	0.644	2.5
2026-01-02	97	0.291	1.75
2026-01-02	195	5	2.25
2026-01-02	197	0.449	2.25
2026-01-02	199	2.027	2.19
2026-01-02	125	2	2.35
2026-01-02	103	1.557	2.19
2026-01-02	27	1	2.59
2026-01-02	114	0.858	4.5
2026-01-02	121	10.597	1.29
2026-01-02	54	2	2.59
2026-01-02	107	2.643	1.99
2026-01-02	56	1	3.49
2026-01-02	27	1	2.59
2026-01-02	85	1	1.49
2026-01-02	155	1	0.85
2026-01-02	33	6.384	1.59
2026-01-02	146	0.455	14.39
2026-01-02	146	0.65	14.39
2026-01-02	138	2.139	4.59
2026-01-02	148	0.247	5.99
2026-01-02	38	4.429	1.89
2026-01-02	130	2	1.89
2026-01-02	121	5.946	1.29
2026-01-02	125	2	2.35
2026-01-02	47	0.35	3
2026-01-02	106	3.06	1.99
2026-01-02	93	1	3
2026-01-02	121	5.38	1.29
2026-01-02	213	1	2.85
2026-01-02	194	0.244	2.75
2026-01-02	102	0.303	1.75
2026-01-02	108	0.247	2.35
2026-01-02	41	6.632	1.85
2026-01-02	81	1	1.25
2026-01-02	207	1	1.29
2026-01-02	178	0.72	3.29
2026-01-02	12	3.738	2.25
2026-01-02	213	1	2.85
2026-01-02	101	3.49	3
2026-01-02	187	0.695	5.45
2026-01-02	81	5	1.25
2026-01-02	58	1.679	2.49
2026-01-02	121	4.558	1.29
2026-01-02	4	6	1.05
2026-01-02	30	4	1.89
2026-01-02	24	1.471	1.19
2026-01-02	118	0.198	4
2026-01-02	28	1	2.85
2026-01-02	52	5.232	0.99
2026-01-02	23	1	1.25
2026-01-02	185	1	1.99
2026-01-02	106	3.879	1.99
2026-01-02	92	6.494	0.89
2026-01-02	95	1.368	2.39
2026-01-02	91	15.014	0.69
2026-01-02	72	4	0.95
2026-01-02	144	0.421	5.39
2026-01-02	57	1	1.35
2026-01-02	43	6.793	1.79
2026-01-02	56	2	3.49
2026-01-02	54	1	2.59
2026-01-02	46	0.39	3
2026-01-02	190	2	3.15
2026-01-02	94	0.565	2.85
2026-01-02	71	1	1.99
2026-01-02	130	2	1.89
2026-01-02	141	0.183	11.89
2026-01-02	56	2	3.49
2026-01-02	165	1.348	5
2026-01-02	28	1	2.85
2026-01-02	194	4.065	2.75
2026-01-02	70	1	1.49
2026-01-02	197	2.711	2.25
2026-01-02	107	0.598	1.99
2026-01-02	93	3	3
2026-01-02	18	9.081	1.35
2026-01-02	52	5.182	0.99
2026-01-02	140	0.539	12.95
2026-01-02	79	3	1.55
2026-01-02	35	1	1.35
2026-01-02	136	0.201	12.95
2026-01-02	89	18.228	0.79
2026-01-02	31	0.548	5.69
2026-01-02	124	1.981	1.55
2026-01-02	83	1.552	2.39
2026-01-02	214	1	2.79
2026-01-02	213	1	2.85
2026-01-02	211	3	1.15
2026-01-02	209	1	1.19
2026-01-02	137	0.482	18.75
2026-01-02	91	10.406	0.69
2026-01-02	44	4.611	1.75
2026-01-02	93	2	3
2026-01-02	198	2.202	1.19
2026-01-02	40	1	1.99
2026-01-02	8	1	2.25
2026-01-02	95	3.414	2.39
2026-01-02	28	2	2.85
2026-01-02	142	0.423	6.95
2026-01-02	93	2	3
2026-01-02	114	3.051	4.5
2026-01-02	219	3	0.99
2026-01-02	99	1.555	2.99
2026-01-02	196	3	3.15
2026-01-02	84	2	1.59
2026-01-02	94	3.204	2.85
2026-01-02	114	0.476	4.5
2026-01-02	195	1	2.25
2026-01-02	88	1.963	2.19
2026-01-02	98	0.257	2.3
2026-01-02	167	4	1.59
2026-01-02	199	1.475	2.19
2026-01-02	190	1	3.15
2026-01-02	112	2.429	2.59
2026-01-02	52	3.859	0.99
2026-01-02	166	2	2.45
2026-01-02	92	1.337	0.89
2026-01-02	77	1	2.35
2026-01-02	66	3	1.59
2026-01-02	26	0.336	1.19
2026-01-02	70	2	1.49
2026-01-02	75	4	1.59
2026-01-02	165	1.614	5
2026-01-02	38	2.841	1.89
2026-01-02	21	1	0.99
2026-01-02	44	3.966	1.75
2026-01-02	198	4.513	1.19
2026-01-02	87	1	1.39
2026-01-02	52	2.283	0.99
2026-01-02	127	1	2.49
2026-01-02	40	2	1.99
2026-01-02	84	5	1.59
2026-01-02	101	2.75	3
2026-01-02	89	1.241	0.79
2026-01-02	95	1.029	2.39
2026-01-02	93	3	3
2026-01-02	79	2	1.55
2026-01-02	122	0.07	2.99
2026-01-02	214	1	2.79
2026-01-02	93	3	3
2026-01-02	194	2.509	2.75
2026-01-02	187	2.541	5.45
2026-01-02	149	0.441	4.99
2026-01-02	114	1.773	4.5
2026-01-02	197	1.333	2.25
2026-01-02	61	1	1.89
2026-01-02	109	0.598	2.59
2026-01-02	166	4	2.45
2026-01-02	189	1	3.15
2026-01-02	48	1	1.99
2026-01-02	196	1	3.15
2026-01-02	194	2.265	2.75
2026-01-02	195	1	2.25
2026-01-02	111	3.166	1.75
2026-01-02	113	0.026	4.25
2026-01-02	248	0.01	10.95
2026-01-02	226	2	1.35
2026-01-02	42	7.525	1.39
2026-01-02	201	0.862	1.95
2026-01-02	224	3	0.99
2026-01-02	121	1.744	1.29
2026-01-02	9	3	0.85
2026-01-02	114	0.658	4.5
2026-01-02	198	1.983	1.19
2026-01-02	73	2	1.49
2026-01-02	78	9	1.09
2026-01-02	130	1	1.89
2026-01-02	53	1	2.59
2026-01-02	121	6.977	1.29
2026-01-02	135	0.48	12.95
2026-01-02	59	0.113	4
2026-01-02	11	2.334	3.95
2026-01-02	98	1.043	2.3
2026-01-02	44	4.349	1.75
2026-01-02	197	2.449	2.25
2026-01-02	167	1	1.59
2026-01-02	114	1.311	4.5
2026-01-02	18	2.578	1.35
2026-01-02	85	1	1.49
2026-01-02	193	3	2.5
2026-01-03	226	2	1.35
2026-01-03	21	2	0.99
2026-01-03	88	2.461	2.19
2026-01-03	56	2	3.49
2026-01-03	54	1	2.59
2026-01-03	198	0.521	1.19
2026-01-03	75	1	1.59
2026-01-03	214	1	2.79
2026-01-03	121	2.915	1.29
2026-01-03	42	4.892	1.39
2026-01-03	49	1	3
2026-01-03	65	1	1.45
2026-01-03	190	1	3.15
2026-01-03	189	1	3.15
2026-01-03	219	1	0.99
2026-01-03	138	0.453	4.59
2026-01-03	18	6.074	1.35
2026-01-03	178	0.845	3.29
2026-01-03	117	0.756	2.5
2026-01-03	112	1.502	2.59
2026-01-03	108	0.289	2.35
2026-01-03	48	1	1.99
2026-01-03	44	6.646	1.75
2026-01-03	197	3.809	2.25
2026-01-03	98	1.53	2.3
2026-01-03	89	4.481	0.79
